w,pb
"[7, 36, 54, 60, 62]",26
"[10, 28, 36, 59, 61]",26
"[18, 32, 41, 54, 61]",3
"[24, 49, 54, 61, 69]",25
"[4, 15, 18, 40, 60]",20
"[25, 30, 38, 57, 69]",5
"[11, 21, 35, 41, 54]",24
"[24, 28, 54, 59, 61]",8
"[1, 11, 18, 54, 61]",19
"[9, 33, 42, 54, 61]",4
"[36, 45, 46, 54, 61]",15
"[4, 20, 25, 38, 47]",11
"[5, 21, 25, 27, 62]",19
"[32, 47, 52, 59, 61]",5
"[3, 8, 18, 40, 56]",13
"[14, 23, 30, 36, 54]",18
"[8, 12, 31, 62, 69]",20
"[23, 33, 54, 57, 69]",7
"[8, 20, 27, 39, 65]",16
"[17, 33, 54, 57, 62]",18
"[4, 7, 33, 49, 54]",13
"[8, 13, 18, 28, 51]",26
"[3, 28, 48, 51, 69]",13
"[7, 39, 40, 61, 68]",16
"[22, 29, 38, 40, 45]",1
"[8, 11, 43, 61, 65]",20
"[8, 24, 54, 58, 61]",26
"[4, 21, 33, 48, 61]",23
"[21, 23, 27, 43, 69]",26
"[4, 15, 38, 61, 69]",21
"[25, 43, 59, 63, 64]",19
"[8, 23, 32, 58, 68]",6
"[10, 14, 17, 48, 61]",24
"[19, 27, 38, 61, 69]",4
"[2, 9, 12, 21, 54]",13
"[17, 45, 52, 54, 61]",21
"[10, 11, 25, 34, 67]",13
"[3, 22, 54, 63, 69]",15
"[8, 14, 34, 54, 69]",17
"[3, 36, 55, 61, 67]",4
"[20, 42, 47, 57, 61]",24
"[32, 35, 37, 50, 54]",24
"[21, 22, 38, 59, 61]",4
"[6, 15, 25, 50, 61]",4
"[9, 14, 15, 24, 67]",1
"[5, 6, 18, 51, 54]",10
"[4, 27, 43, 61, 63]",5
"[5, 21, 22, 36, 49]",10
"[5, 8, 44, 61, 67]",3
"[51, 54, 61, 66, 69]",19
